Category: Extension | Paradox Class: 17, 
Category: Animal | Paradox Class: 3, 
Category: Tool | Paradox Class: 76, 
Category: Food | Paradox Class: 32, 
Category: Weapon | Paradox Class: 14, 
Category: Shelter | Paradox Class: 29, 
Category: Projection | Paradox Class: 1, 
Category: Celestial Being | Paradox Class: 98, 
Category: Transit | Paradox Class: 17, 
Category: Communication Device | Paradox Class: 32, 
Category: Fallacy | Paradox Class: 1, 
Category: Amoeba | Paradox Class: 1, 
Category: Element | Paradox Class: 1, 
Category: Existential Threat | Paradox Class: 1, 
Category: Weather Pattern | Paradox Class: 1, 
Category: Gas | Paradox Class: 14/23, 
Category: Solid | Paradox Class: 105,  
Category: Liquid | Paradox Class: 23, 
Category: Phase Change | Paradox Class: 98,  
Category: Anomaly | Paradox Class: 14, 
Category: Geographic Feature | Paradox Class: 4, 
Category: Concept | Paradox Class: 4, 
Category: Terraformation | Paradox Class: 4, 
Category: Nuclear Device | Paradox Class: 4, 
Category: State | Paradox Class: 43, 
Category: Zone | Paradox Class: 4,  
Category: Outer-Solar Being | Paradox Class: 4,
Category: Other | Paradox Class: 17, 
Category: Geode | Paradox Class: 3, 
Category: UNKNOWN | Paradox Class: NULL, 
Category: Particle | Paradox Class: 5, 
Category: Landform | Paradox Class: 7, 
Category: System | Paradox Class: 5, 
Category: Pain | Paradox Class: 98,    
Category: Fear | Paradox Class: 17, 
Category: Machine | Paradox Class: 32, 
Category: Mechanics | Paradox Class: 1,  
Category: AI | Paradox Class: 23,  
Category: Chaos | Paradox Class: 4, 
Category: Formation | Paradox Class: 4, 
Category: Robotic | Paradox Class: 18, 
Category: Finite | Paradox Class: 18, 
Category: Harm | Paradox Class: 18, 
Category: Autocratic | Paradox Class: 17, 
Category: Manifestation | Paradox Class: 18, 
Category: Disease | Paradox Class: 4, 
Category: Death | Paradox Class: 4, 
Category: Phase | Paradox Class: 9, 
Category: Energy Source | Paradox Class: 8, 
Category: Decay | Paradox Class: 1, 
Category: Fungi | Paradox Class: 13, 
Category: Vegetative | Paradox Class: 2, 
Category: Shape | Paradox Class: 4, 
Category: Density | Paradox Class: 4, 
Category: Dimension | Paradox Class: 4, 
Category: Velocity | Paradox Class: 18, 
Category: Particle | Paradox Class: 18, 
Category: Mass | Paradox Class: 4, 
Category: Animation | Paradox Class: 18, 
Category: Vertex | Paradox Class: 1, 
Category: Quantity | Paradox Class: 1, 
Category: Formula | Paradox Class: 1, 
Category: Defect | Paradox Class: 1, 
Category: Error | Paradox Class: 1, 
Category: Radii | Paradox Class: 1, 
Category: Crystalline | Paradox Class: 1, 
Category: Mineral | Paradox Class: 1, 
Category: Protein | Paradox Class: 4, 
Category: Terrain | Paradox Class: 4, 
